1994年 	510.9 	446.5 	114.4 	- 	-
1995年 	521.6 	458.3 	113.8 	2.1 	2.6
1996年 	535.6 	472.6 	113.3 	2.7 	3.1
1997年 	543.5 	477.3 	113.9 	1.5 	1.0
1998年 	536.5 	471.2 	113.9 	-1.3 	-1.3
1999年 	528.1 	469.6 	112.4 	-1.6 	-0.3
2000年 	535.4 	482.6 	110.9 	1.4 	2.8
2001年 	531.7 	484.5 	109.7 	-0.7 	0.4
2002年 	524.5 	484.7 	108.2 	-1.3 	0.0
2003年 	524.0 	492.1 	106.5 	-0.1 	1.5
2004年 	529.4 	502.9 	105.3 	1.0 	2.2
2005年 	532.5 	512.0 	104.0 	0.6 	1.8
2006年 	535.2 	519.0 	103.1 	0.5 	1.4
2007年 	539.3 	526.7 	102.4 	0.8 	1.5
2008年 	527.8 	520.2 	101.5 	-2.1 	-1.2
2009年 	494.9 	490.6 	100.9 	-6.2 	-5.7
2010年 	505.5 	510.7 	99.0 	2.1 	4.1
2011年 	497.4 	510.8 	97.4 	-1.6 	0.0
2012年 	500.5 	517.9 	96.6 	0.6 	1.4
2013年 	508.7 	528.2 	96.3 	1.6 	2.0
2014年 	518.8 	529.8 	97.9 	2.0 	0.3
2015年 	538.0 	538.1 	100.0 	3.7 	1.6
2016年 	544.4 	542.1 	100.4 	1.2 	0.8
2017年 	553.1 	551.2 	100.3 	1.6 	1.7
2018年 	556.6 	554.8 	100.3 	0.6 	0.6
2019年 	557.9 	552.5 	101.0 	0.2 	-0.4
2020年 	539.8 	529.6 	101.9 	-3.2 	-4.1
2021年 	552.6 	543.2 	101.7 	2.4 	2.6
2022年 	559.7 	548.4 	102.1 	1.3 	1.0
2023年 	591.5 	558.7 	105.9 	5.7 	1.9
